count: 00019	high: 0.6887	 avg: 0.3685	   word: cosmology
count: 00008	high: 0.6269	 avg: 0.4739	   word: energy density
count: 00007	high: 0.4442	 avg: 0.4005	   word: model
count: 00007	high: 0.9740	 avg: 0.6881	   word: dark energy
count: 00006	high: 0.9906	 avg: 0.7401	   word: scalar field
count: 00006	high: 0.4562	 avg: 0.3770	   word: work
count: 00006	high: 0.4426	 avg: 0.3647	   word: paper
count: 00006	high: 0.5046	 avg: 0.3651	   word: evolution
count: 00006	high: 0.5445	 avg: 0.3856	   word: framework
count: 00006	high: 0.9952	 avg: 0.7762	   word: loop quantum cosmology
count: 00006	high: 0.9657	 avg: 0.8509	   word: massless scalar field
count: 00006	high: 0.5578	 avg: 0.4032	   word: gravity
count: 00006	high: 0.8868	 avg: 0.6700	   word: scale factor
count: 00005	high: 0.4491	 avg: 0.3566	   word: terms
count: 00005	high: 0.4592	 avg: 0.3792	   word: theory
count: 00005	high: 0.9092	 avg: 0.5809	   word: dark matter
count: 00005	high: 0.7505	 avg: 0.5713	   word: effective dynamics
count: 00004	high: 0.4352	 avg: 0.3692	   word: presence
count: 00004	high: 0.4676	 avg: 0.3781	   word: matter
count: 00004	high: 0.4845	 avg: 0.3604	   word: state
count: 00004	high: 0.6576	 avg: 0.5147	   word: quantum cosmology
count: 00004	high: 0.5837	 avg: 0.4755	   word: exact solutions
count: 00004	high: 0.4646	 avg: 0.4039	   word: dynamics
count: 00004	high: 0.4605	 avg: 0.3972	   word: theories
count: 00004	high: 0.9904	 avg: 0.8832	   word: Loop Quantum Cosmology
count: 00004	high: 0.3402	 avg: 0.2967	   word: relation
count: 00004	high: 0.9758	 avg: 0.7630	   word: quantum bounce
count: 00004	high: 0.6603	 avg: 0.5935	   word: cosmological models
count: 00004	high: 0.4757	 avg: 0.3743	   word: expression
count: 00004	high: 0.9833	 avg: 0.7061	   word: deceleration parameter
count: 00004	high: 0.4752	 avg: 0.3531	   word: existence
count: 00004	high: 0.4812	 avg: 0.3638	   word: possibility
count: 00004	high: 0.4512	 avg: 0.3817	   word: behavior
count: 00003	high: 0.3327	 avg: 0.3066	   word: form
count: 00003	high: 0.9026	 avg: 0.5684	   word: late time
count: 00003	high: 0.8494	 avg: 0.7603	   word: big bang singularity
count: 00003	high: 0.3738	 avg: 0.3038	   word: example
