count: 00049	high: 0.9892	 avg: 0.6472	   word: dark energy
count: 00012	high: 0.9237	 avg: 0.6199	   word: dark matter
count: 00011	high: 0.4459	 avg: 0.3634	   word: paper
count: 00011	high: 0.5578	 avg: 0.4250	   word: gravity
count: 00010	high: 0.7052	 avg: 0.5492	   word: scale factor
count: 00010	high: 0.5193	 avg: 0.3668	   word: universe
count: 00009	high: 0.9839	 avg: 0.8684	   word: holographic dark energy
count: 00009	high: 0.9015	 avg: 0.5791	   word: observational data
count: 00009	high: 0.4812	 avg: 0.3607	   word: possibility
count: 00008	high: 0.4808	 avg: 0.4124	   word: model
count: 00008	high: 0.7972	 avg: 0.6015	   word: Hubble parameter
count: 00008	high: 0.9833	 avg: 0.7100	   word: deceleration parameter
count: 00008	high: 0.8651	 avg: 0.6151	   word: state parameter
count: 00007	high: 0.5319	 avg: 0.4349	   word: models
count: 00007	high: 0.9506	 avg: 0.6587	   word: cosmological parameters
count: 00007	high: 0.5387	 avg: 0.3627	   word: stability
count: 00007	high: 0.4456	 avg: 0.3508	   word: framework
count: 00007	high: 0.9377	 avg: 0.6114	   word: energy density
count: 00007	high: 0.9888	 avg: 0.7379	   word: scalar field
count: 00007	high: 0.4838	 avg: 0.3689	   word: expansion
count: 00006	high: 0.4462	 avg: 0.3528	   word: theory
count: 00006	high: 0.5172	 avg: 0.3808	   word: context
count: 00006	high: 0.4562	 avg: 0.3441	   word: work
count: 00006	high: 0.6194	 avg: 0.4640	   word: thermodynamics
count: 00006	high: 0.4708	 avg: 0.3734	   word: state
count: 00006	high: 0.9459	 avg: 0.7341	   word: black hole
count: 00006	high: 0.7084	 avg: 0.5108	   word: field equations
count: 00005	high: 0.9449	 avg: 0.7596	   word: dark energy models
count: 00005	high: 0.4522	 avg: 0.3610	   word: study
count: 00005	high: 0.4726	 avg: 0.3692	   word: cosmology
count: 00005	high: 0.4666	 avg: 0.3793	   word: equation
count: 00005	high: 0.4697	 avg: 0.3943	   word: case
count: 00005	high: 0.5733	 avg: 0.4406	   word: Universe
count: 00005	high: 0.6145	 avg: 0.5041	   word: barotropic fluid
count: 00005	high: 0.9624	 avg: 0.8852	   word: ghost dark energy
count: 00005	high: 0.4713	 avg: 0.3456	   word: presence
count: 00004	high: 0.9026	 avg: 0.5974	   word: late time
count: 00004	high: 0.9920	 avg: 0.8156	   word: bulk viscosity
count: 00004	high: 0.4679	 avg: 0.4514	   word: matter
count: 00004	high: 0.4571	 avg: 0.4164	   word: interaction
count: 00004	high: 0.4633	 avg: 0.3865	   word: parameters
count: 00004	high: 0.4741	 avg: 0.4481	   word: coupling
count: 00004	high: 0.7765	 avg: 0.6714	   word: accelerated expansion
count: 00004	high: 0.4506	 avg: 0.4059	   word: technique
count: 00004	high: 0.6813	 avg: 0.5798	   word: gravitational field
count: 00004	high: 0.6408	 avg: 0.5585	   word: numerical analysis
count: 00004	high: 0.8645	 avg: 0.5733	   word: different models
count: 00004	high: 0.9127	 avg: 0.6599	   word: generalized second law
count: 00004	high: 0.4841	 avg: 0.3676	   word: Einstein
count: 00004	high: 0.7427	 avg: 0.6512	   word: cosmological perturbations
count: 00003	high: 0.4496	 avg: 0.3766	   word: terms
count: 00003	high: 0.5876	 avg: 0.4847	   word: energy-momentum tensor
count: 00003	high: 0.3530	 avg: 0.3161	   word: absence
count: 00003	high: 0.4768	 avg: 0.4191	   word: different forms
count: 00003	high: 0.4451	 avg: 0.4131	   word: evolution
count: 00003	high: 0.6893	 avg: 0.6591	   word: dark energy component
count: 00003	high: 0.3630	 avg: 0.3194	   word: phase
count: 00003	high: 0.5303	 avg: 0.4955	   word: dust matter
count: 00003	high: 0.4257	 avg: 0.3520	   word: scenario
count: 00003	high: 0.6352	 avg: 0.5705	   word: graphical representation
count: 00003	high: 0.2709	 avg: 0.2582	   word: solution
count: 00003	high: 0.6156	 avg: 0.4978	   word: power-law form
count: 00003	high: 0.4434	 avg: 0.3984	   word: problem
count: 00003	high: 0.4839	 avg: 0.4084	   word: masses
count: 00003	high: 0.4396	 avg: 0.3991	   word: HDE
count: 00003	high: 0.7782	 avg: 0.6757	   word: non-minimal coupling
count: 00003	high: 0.6878	 avg: 0.4818	   word: Einstein gravity
count: 00003	high: 0.4470	 avg: 0.3608	   word: QCD
count: 00003	high: 0.4137	 avg: 0.3334	   word: consideration
count: 00003	high: 0.7435	 avg: 0.5274	   word: exact solutions
count: 00003	high: 0.6133	 avg: 0.5580	   word: Friedmann equation
count: 00003	high: 0.5764	 avg: 0.5471	   word: dark energy background
count: 00003	high: 0.7155	 avg: 0.5492	   word: constraint equation
count: 00003	high: 0.2396	 avg: 0.2152	   word: function
count: 00003	high: 0.4807	 avg: 0.3793	   word: consequence
