count: 00021	high: 0.9237	 avg: 0.6328	   word: dark matter
count: 00014	high: 0.9740	 avg: 0.6505	   word: dark energy
count: 00005	high: 0.5268	 avg: 0.3892	   word: paper
count: 00004	high: 0.4317	 avg: 0.3955	   word: model
count: 00004	high: 0.4562	 avg: 0.3637	   word: work
count: 00004	high: 0.3713	 avg: 0.2956	   word: possibility
count: 00004	high: 0.5104	 avg: 0.4073	   word: models
count: 00004	high: 0.4269	 avg: 0.3709	   word: universe
count: 00004	high: 0.8341	 avg: 0.5994	   word: energy density
count: 00004	high: 0.9506	 avg: 0.7452	   word: cosmological parameters
count: 00004	high: 0.4531	 avg: 0.3195	   word: form
count: 00004	high: 0.4726	 avg: 0.3578	   word: cosmology
count: 00004	high: 0.3953	 avg: 0.3260	   word: equation
count: 00003	high: 0.4708	 avg: 0.3748	   word: state
count: 00003	high: 0.4697	 avg: 0.3642	   word: case
count: 00003	high: 0.6256	 avg: 0.4957	   word: late time
count: 00003	high: 0.4564	 avg: 0.3899	   word: equations
count: 00003	high: 0.9681	 avg: 0.7336	   word: cold dark matter
count: 00003	high: 0.3981	 avg: 0.3606	   word: galaxies
count: 00003	high: 0.6366	 avg: 0.5038	   word: gravity
count: 00003	high: 0.9901	 avg: 0.9517	   word: galactic rotation curves
count: 00003	high: 0.3675	 avg: 0.3259	   word: study
count: 00003	high: 0.4654	 avg: 0.3679	   word: radiation
count: 00003	high: 0.5767	 avg: 0.4062	   word: theory
count: 00003	high: 0.6408	 avg: 0.5694	   word: numerical analysis
count: 00003	high: 0.7972	 avg: 0.7252	   word: Hubble parameter
count: 00003	high: 0.9833	 avg: 0.7552	   word: deceleration parameter
count: 00003	high: 0.9607	 avg: 0.8449	   word: apparent horizon
count: 00002	high: 0.3290	 avg: 0.3128	   word: Zel'dovich
count: 00002	high: 0.4851	 avg: 0.4757	   word: Friedmann equations
count: 00002	high: 0.3367	 avg: 0.2933	   word: consideration
count: 00002	high: 0.3401	 avg: 0.2976	   word: absence
count: 00002	high: 0.3951	 avg: 0.3940	   word: set-up
count: 00002	high: 0.4759	 avg: 0.4496	   word: fundamental theory
count: 00002	high: 0.4768	 avg: 0.4490	   word: different forms
count: 00002	high: 0.4878	 avg: 0.4660	   word: constraint equation
count: 00002	high: 0.6090	 avg: 0.5963	   word: widely known models
count: 00002	high: 0.6472	 avg: 0.6430	   word: universally accepted interaction
count: 00002	high: 0.4389	 avg: 0.3401	   word: terms
count: 00002	high: 0.9144	 avg: 0.8155	   word: coincidence problem
count: 00002	high: 0.3389	 avg: 0.2910	   word: need
count: 00002	high: 0.9167	 avg: 0.6136	   word: Einstein gravity
count: 00002	high: 0.3655	 avg: 0.3226	   word: Einstein
count: 00002	high: 0.9174	 avg: 0.7335	   word: baryonic matter
count: 00002	high: 0.7716	 avg: 0.7230	   word: cosmic coincidence problem
count: 00002	high: 0.4276	 avg: 0.3948	   word: expansion
count: 00002	high: 0.9920	 avg: 0.9647	   word: bulk viscosity
