count: 00077	high: 0.6794	 avg: 0.3875	   word: gravity
count: 00037	high: 0.5268	 avg: 0.3643	   word: paper
count: 00027	high: 0.9938	 avg: 0.6563	   word: black holes
count: 00026	high: 0.5767	 avg: 0.3699	   word: theory
count: 00022	high: 0.9906	 avg: 0.7970	   word: scalar field
count: 00020	high: 0.9988	 avg: 0.7040	   word: black hole
count: 00019	high: 0.9189	 avg: 0.6567	   word: general relativity
count: 00019	high: 0.8396	 avg: 0.5778	   word: field equations
count: 00019	high: 0.9886	 avg: 0.6353	   word: quantum gravity
count: 00017	high: 0.4887	 avg: 0.3737	   word: context
count: 00015	high: 0.9892	 avg: 0.6784	   word: dark energy
count: 00015	high: 0.5214	 avg: 0.4023	   word: Einstein
count: 00015	high: 0.4467	 avg: 0.3529	   word: framework
count: 00013	high: 0.5181	 avg: 0.3581	   word: model
count: 00013	high: 0.4940	 avg: 0.3853	   word: matter
count: 00013	high: 0.5068	 avg: 0.3984	   word: equations
count: 00013	high: 0.9278	 avg: 0.3870	   word: thermodynamics
count: 00012	high: 0.4314	 avg: 0.3509	   word: parameters
count: 00012	high: 0.5201	 avg: 0.3440	   word: terms
count: 00012	high: 0.5516	 avg: 0.3710	   word: case
count: 00012	high: 0.9718	 avg: 0.7018	   word: General Relativity
count: 00012	high: 0.9167	 avg: 0.5430	   word: Einstein gravity
count: 00011	high: 0.6759	 avg: 0.5499	   word: scale factor
count: 00011	high: 0.4485	 avg: 0.3494	   word: presence
count: 00011	high: 0.8135	 avg: 0.4096	   word: equation
count: 00011	high: 0.9614	 avg: 0.7605	   word: loop quantum gravity
count: 00011	high: 0.4918	 avg: 0.3625	   word: existence
count: 00010	high: 0.4833	 avg: 0.3378	   word: form
count: 00010	high: 0.5193	 avg: 0.3930	   word: universe
count: 00010	high: 0.6813	 avg: 0.5069	   word: gravitational field
count: 00010	high: 0.8387	 avg: 0.5149	   word: exact solutions
count: 00010	high: 0.4773	 avg: 0.3387	   word: freedom
count: 00009	high: 0.5247	 avg: 0.4038	   word: dynamics
count: 00009	high: 0.4541	 avg: 0.3490	   word: work
