Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
10903,"S Weinberg, RH Dicke",Gravitation and cosmology: principles and applications of the general theory of relativity,1973,American Journal of Physics,scitation.aip.org,,"http://scholar.google.com/scholar?cites=2331091289335612956&as_sdt=5,33&sciodt=0,33&hl=en&num=20",457,2015-01-12,CITATION
4042,S Weinberg,The cosmological constant problem,1989,Reviews of Modern Physics,APS,http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.61.1,"http://scholar.google.com/scholar?cites=10602662350857289395&as_sdt=5,33&sciodt=0,33&hl=en&num=20",279,2015-01-12,
3975,"C Brans, RH Dicke",Mach's principle and a relativistic theory of gravitation,1961,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.124.925,"http://scholar.google.com/scholar?cites=14843676885664300732&as_sdt=5,33&sciodt=0,33&hl=en&num=20",270,2015-01-12,
3207,"B Ratra, PJE Peebles",Cosmological consequences of a rolling homogeneous scalar field,1988,Physical Review D,APS,http://journals.aps.org/prd/abstract/10.1103/PhysRevD.37.3406,"http://scholar.google.com/scholar?cites=8154595982268897452&as_sdt=5,33&sciodt=0,33&hl=en&num=20",153,2015-01-12,
2608,"D Kramer, E Schmutzer",Exact solutions of Einstein's field equations,1980,,tocs.ulb.tu-darmstadt.de,,"http://scholar.google.com/scholar?cites=9796066002177808457&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,2015-01-12,BOOK
2571,BS DeWitt,Quantum theory of gravity. I. The canonical theory,1967,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.160.1113,"http://scholar.google.com/scholar?cites=12453397461859160440&as_sdt=5,33&sciodt=0,33&hl=en&num=20",513,2015-01-12,
2522,A Einstein,The meaning of relativity,2003,,books.google.com,,"http://scholar.google.com/scholar?cites=11457595862006272228&as_sdt=5,33&sciodt=0,33&hl=en&num=20",260,2015-01-12,BOOK
2412,LH Ryder,Quantum field theory,1996,,books.google.com,,"http://scholar.google.com/scholar?cites=14398189842493937255&as_sdt=5,33&sciodt=0,33&hl=en&num=20",587,2015-01-12,BOOK
2276,P Schneider,Gravitational lensing statistics,1992,,Springer,,"http://scholar.google.com/scholar?cites=16207265501410717365&as_sdt=5,33&sciodt=0,33&hl=en&num=20",229,2015-01-12,BOOK
2041,"RK Sachs, AM Wolfe",Perturbations of a cosmological model and angular variations of the microwave background,1967,The Astrophysical Journal,adsabs.harvard.edu,,"http://scholar.google.com/scholar?cites=14467548525841315433&as_sdt=5,33&sciodt=0,33&hl=en&num=20",448,2015-01-12,HTML
2003,A Einstein,Relativity: The special and general theory,1920,,books.google.com,,"http://scholar.google.com/scholar?cites=6260380372219921579&as_sdt=5,33&sciodt=0,33&hl=en&num=20",554,2015-01-12,BOOK
1995,JD Walecka,A theory of highly condensed matter,1974,Annals of Physics,Elsevier,http://www.sciencedirect.com/science/article/pii/0003491674902085,"http://scholar.google.com/scholar?cites=4693322061928537199&as_sdt=5,33&sciodt=0,33&hl=en&num=20",67,2015-01-12,
1897,"JR Oppenheimer, GM Volkoff",On massive neutron cores,1939,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.55.374,"http://scholar.google.com/scholar?cites=16313122537432853657&as_sdt=5,33&sciodt=0,33&hl=en&num=20",499,2015-01-12,
1854,W Israel,Singular hypersurfaces and thin shells in general relativity,1966,Il Nuovo Cimento B Series 10,Springer,http://link.springer.com/article/10.1007/BF02710419,"http://scholar.google.com/scholar?cites=15393282391177229497&as_sdt=5,33&sciodt=0,33&hl=en&num=20",166,2015-01-12,
1851,"FW Hehl, P Von der Heyde, GD Kerlick…",General relativity with spin and torsion: Foundations and prospects,1976,Reviews of Modern Physics,APS,http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.48.393,"http://scholar.google.com/scholar?cites=318534289671362430&as_sdt=5,33&sciodt=0,33&hl=en&num=20",800,2015-01-12,
1801,RP Kerr,Gravitational field of a spinning mass as an example of algebraically special metrics,1963,Physical review letters,APS,,"http://scholar.google.com/scholar?cites=10038737617986888094&as_sdt=5,33&sciodt=0,33&hl=en&num=20",161,2015-01-12,CITATION
1512,"SM Carroll, V Duvvuri, M Trodden, MS Turner",Is cosmic speed-up due to new gravitational physics?,2004,Physical Review D,APS,http://journals.aps.org/prd/abstract/10.1103/PhysRevD.70.043528,"http://scholar.google.com/scholar?cites=17640583323263329893&as_sdt=5,33&sciodt=0,33&hl=en&num=20",317,2015-01-12,
1503,"H Stephani, D Kramer, M MacCallum, C Hoenselaers…",Exact solutions of Einstein's field equations,2003,,books.google.com,,"http://scholar.google.com/scholar?cites=9180100063045723920&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,2015-01-12,BOOK
1427,"M Fierz, W Pauli",On relativistic wave equations for particles of arbitrary spin in an electromagnetic field,1939,… of the Royal Society of London. …,rspa.royalsocietypublishing.org,http://rspa.royalsocietypublishing.org/content/173/953/211.full.pdf,"http://scholar.google.com/scholar?cites=7073891629546208675&as_sdt=5,33&sciodt=0,33&hl=en&num=20",101,2015-01-12,
1423,"M Born, L Infeld",Foundations of the new field theory,1934,… of the Royal Society of London. …,rspa.royalsocietypublishing.org,http://rspa.royalsocietypublishing.org/content/144/852/425.full.pdf,"http://scholar.google.com/scholar?cites=779461755573160491&as_sdt=5,33&sciodt=0,33&hl=en&num=20",233,2015-01-12,
1404,"T Regge, JA Wheeler",Stability of a Schwarzschild singularity,1957,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.108.1063,"http://scholar.google.com/scholar?cites=6992391221132437593&as_sdt=5,33&sciodt=0,33&hl=en&num=20",155,2015-01-12,
1296,"S Deser, B Zumino",Consistent supergravity,1976,Physics Letters B,Elsevier,http://www.sciencedirect.com/science/article/pii/0370269376900897,"http://scholar.google.com/scholar?cites=4735376232866155657&as_sdt=5,33&sciodt=0,33&hl=en&num=20",590,2015-01-12,
1204,"SW Hawking, DN Page",Thermodynamics of black holes in anti-de Sitter space,1983,Communications in Mathematical Physics,Springer,http://link.springer.com/article/10.1007/BF01208266,"http://scholar.google.com/scholar?cites=9640743466230609949&as_sdt=5,33&sciodt=0,33&hl=en&num=20",302,2015-01-12,
1199,D Lovelock,The Einstein tensor and its generalizations,1971,Journal of Mathematical Physics,scitation.aip.org,http://scitation.aip.org/content/aip/journal/jmp/12/3/10.1063/1.1665613,"http://scholar.google.com/scholar?cites=11972109084729041912&as_sdt=5,33&sciodt=0,33&hl=en&num=20",112,2015-01-12,
1182,"MS Morris, KS Thorne",Wormholes in spacetime and their use for interstellar travel: A tool for teaching general relativity,1988,Am. J. Phys,physics.uofl.edu,,"http://scholar.google.com/scholar?cites=9546553420881736373&as_sdt=5,33&sciodt=0,33&hl=en&num=20",891,2015-01-12,PDF
1149,RM Wald,Black hole entropy is the Noether charge,1993,Physical Review D,APS,http://journals.aps.org/prd/abstract/10.1103/PhysRevD.48.R3427,"http://scholar.google.com/scholar?cites=9375784039099671052&as_sdt=5,33&sciodt=0,33&hl=en&num=20",238,2015-01-12,
1141,"R Adler, M Bazin, M Schiffer",Introduction to general relativity,1965,,ulb.tu-darmstadt.de,http://www.ulb.tu-darmstadt.de/tocs/20911599.pdf,"http://scholar.google.com/scholar?cites=14462109133234052327&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,2015-01-12,
1122,SA Teukolsky,"Perturbations of a rotating black hole. I. Fundamental equations for gravitational, electromagnetic, and neutrino-field perturbations",1973,The Astrophysical Journal,adsabs.harvard.edu,,"http://scholar.google.com/scholar?cites=15158908050680668226&as_sdt=5,33&sciodt=0,33&hl=en&num=20",75,2015-01-12,HTML
1068,"FW Hehl, JD McCrea, EW Mielke, Y Ne'eman","Metric-affine gauge theory of gravity: field equations, Noether identities, world spinors, and breaking of dilation invariance",1995,Physics Reports,Elsevier,http://www.sciencedirect.com/science/article/pii/037015739400111F,"http://scholar.google.com/scholar?cites=15166365308210523536&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,2015-01-12,
1058,K Gödel,An example of a new type of cosmological solutions of Einstein's field equations of gravitation,1949,Reviews of Modern Physics,APS,,"http://scholar.google.com/scholar?cites=9031102976483801647&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17,2015-01-12,CITATION
1036,R Penrose,Gravitational collapse and space-time singularities,1965,Physical Review Letters,phy.pku.edu.cn,,"http://scholar.google.com/scholar?cites=4942837067738997104&as_sdt=5,33&sciodt=0,33&hl=en&num=20",706,2015-01-12,PDF
1023,"S Deser, R Jackiw, G t Hooft",Three-dimensional Einstein gravity: dynamics of flat space,1984,Annals of Physics,Elsevier,http://www.sciencedirect.com/science/article/pii/000349168490085X,"http://scholar.google.com/scholar?cites=10901537027074863198&as_sdt=5,33&sciodt=0,33&hl=en&num=20",239,2015-01-12,
1023,A Vilenkin,Gravitational field of vacuum domain walls and strings,1981,Physical Review D,APS,http://journals.aps.org/prd/abstract/10.1103/PhysRevD.23.852,"http://scholar.google.com/scholar?cites=10544005861895672803&as_sdt=5,33&sciodt=0,33&hl=en&num=20",591,2015-01-12,
1021,T Jacobson,Thermodynamics of spacetime: the Einstein equation of state,1995,Physical Review Letters,APS,http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.75.1260,"http://scholar.google.com/scholar?cites=16740829740612570421&as_sdt=5,33&sciodt=0,33&hl=en&num=20",115,2015-01-12,
1012,RC Tolman,Static solutions of Einstein's field equations for spheres of fluid,1939,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.55.364,"http://scholar.google.com/scholar?cites=16736177486107935045&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5,2015-01-12,
1009,"D Garfinkle, GT Horowitz, A Strominger",Charged black holes in string theory,1991,Physical Review D,APS,http://journals.aps.org/prd/abstract/10.1103/PhysRevD.43.3140,"http://scholar.google.com/scholar?cites=15765081564956625173&as_sdt=5,33&sciodt=0,33&hl=en&num=20",449,2015-01-12,
1007,"A Einstein, FA Davis",The principle of relativity,2013,,books.google.com,,"http://scholar.google.com/scholar?cites=10222925839632055980&as_sdt=5,33&sciodt=0,33&hl=en&num=20",739,2015-01-12,BOOK
945,"PGO Freund, MA Rubin",Dynamics of dimensional reduction,1980,Physics Letters B,Elsevier,http://www.sciencedirect.com/science/article/pii/0370269380905900,"http://scholar.google.com/scholar?cites=14778948404168821499&as_sdt=5,33&sciodt=0,33&hl=en&num=20",399,2015-01-12,
943,L Parker,Quantized fields and particle creation in expanding universes. I,1969,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.183.1057,"http://scholar.google.com/scholar?cites=8645044806738204011&as_sdt=5,33&sciodt=0,33&hl=en&num=20",412,2015-01-12,
929,KS Thorne,Multipole expansions of gravitational radiation,1980,Reviews of Modern Physics,APS,http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.52.299,"http://scholar.google.com/scholar?cites=16854995486089618671&as_sdt=5,33&sciodt=0,33&hl=en&num=20",234,2015-01-12,
847,"DG Boulware, S Deser",String-generated gravity models,1985,Physical Review Letters,APS,http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.55.2656,"http://scholar.google.com/scholar?cites=10384413847573499134&as_sdt=5,33&sciodt=0,33&hl=en&num=20",623,2015-01-12,
844,FJ Ernst,New formulation of the axially symmetric gravitational field problem,1968,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.167.1175,"http://scholar.google.com/scholar?cites=13482148973875331763&as_sdt=5,33&sciodt=0,33&hl=en&num=20",138,2015-01-12,
842,"RA d'Inverno, A Harvey",Introducing Einstein's relativity,2008,Physics Today,scitation.aip.org,,"http://scholar.google.com/scholar?cites=17419077310816328027&as_sdt=5,33&sciodt=0,33&hl=en&num=20",93,2015-01-12,CITATION
816,K Sundermeyer,"Constrained dynamics with applications to Yang-Mills theory, general relativity, classical spin, dual string model",1982,,inis.iaea.org,http://inis.iaea.org/search/search.aspx?orig_q=RN:14756633,"http://scholar.google.com/scholar?cites=1257948076662317541&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,2015-01-12,
805,RK Sachs,Gravitational waves in general relativity. VIII. Waves in asymptotically flat space-time,1962,Proceedings of the Royal Society of …,rspa.royalsocietypublishing.org,http://rspa.royalsocietypublishing.org/content/270/1340/103.short,"http://scholar.google.com/scholar?cites=6182916366106695906&as_sdt=5,33&sciodt=0,33&hl=en&num=20",619,2015-01-12,
788,J Silk,Cosmic black-body radiation and galaxy formation,1968,The Astrophysical Journal,adsabs.harvard.edu,,"http://scholar.google.com/scholar?cites=3488895193013971472&as_sdt=5,33&sciodt=0,33&hl=en&num=20",489,2015-01-12,HTML
