id,year,citations,versions,title
8066420215978626200,1915,601,1,Die feldgleichungen der gravitation
3304380016146467847,2010,802,50,f (R) theories
13236699625184555085,1995,649,8,Gravitation and inertia
14265606160750307633,2000,640,13,Millisecond oscillations in X-ray binaries
14110279249614759766,2002,340,12,Dilaton gravity in two dimensions
1887245510893068274,1982,312,4,Quasi-local mass and angular momentum in general relativity
1562411374718911369,1988,219,6,Higher-order relativistic periastron advances and binary pulsars
17345052744690172019,2007,161,6,General continuum mechanics
13505226937986080014,2005,115,5,Lecture notes on Chern-Simons (super-) gravities. (February 2008)
16591370746482138146,2010,103,55,The pioneer anomaly
6819705721538462045,1988,99,8,Spherically symmetric solutions of general second-order gravity
2073577407186785391,2003,1066,21,A test of general relativity using radio links with the Cassini spacecraft
5679112812587673136,2004,319,13,A confirmation of the general relativistic prediction of the Lense–Thirring effect
10247494253034349414,1997,301,7,Ring-laser tests of fundamental physics and geophysics
2080725945568323480,1998,213,11,Test of general relativity and measurement of the Lense-Thirring effect with two Earth satellites
1489993461186349819,2005,160,6,The reign of relativity: philosophy in physics  1915-1925
10648730190837903444,1997,138,9,Behavior of cosmological models with varying G
4399704678323594501,2003,131,8,Gravitoelectromagnetism: a brief review
17852612799127925294,1999,127,8,Frame dragging and other precessional effects in black hole pulsar binaries
4214277860018394789,2004,123,10,Torsion gravity: a reappraisal
3962376345999534905,1996,119,6,On a new method to measure the gravitomagnetic field using two orbiting satellites
2618637740509683199,2009,266,11,Strong coupling in Hořava gravity
3854089764774945796,2011,104,8,Palatini approach to modified gravity: f (R) theories and beyond
4333318140645464937,2010,94,10,Causality constraints in AdS/CFT from conformal collider physics and Gauss-Bonnet gravity
9751592570670668759,2008,90,8,The Lovelock black holes
2366035291457939803,2008,91,8,Generalized Misner-Sharp quasilocal mass in Einstein-Gauss-Bonnet gravity
789468812864626323,2009,60,8,Lovelock black holes with a nonlinear Maxwell field
342103249347579926,2011,59,8,Lovelock theories  holography and the fate of the viscosity bound
10413443285896404702,2006,51,10,Transgression forms and extensions of Chern-Simons gauge theories
3979021768671065201,2008,39,10,The instability of vacua in Gauss-Bonnet gravity
441937914130825853,2010,34,9,Chern-Simons black holes: scalar perturbations  mass and area spectrum and greybody factors
17356745435013955378,2003,450,13,Heat kernel expansion: user's manual
14162573206212289292,2009,234,9,Noncommutative black holes  the final appeal to quantum gravity: a review
2869814780032928070,2004,210,10,Liouville field theory: A decade after the revolution
9611108896558765206,2004,191,9,The conformal frame freedom in theories of gravitation
8334743914074564238,2008,184,17,Instability in cosmological topologically massive gravity at the chiral point
1991228081183103841,2005,161,16,Loop quantum gravity: an outside view
14360267707157969385,2005,116,6,Modeling black hole evaporation
8103720807881363458,2007,115,11,(Pseudo) issue of the conformal frame revisited
16527511400766981511,2004,110,8,Palatini formulation of modified gravity with lnR terms
10345673944223584188,2004,102,12,Time‐dependent orbifolds and string cosmology
5361927362055160247,2000,851,7,The condensed matter physics of QCD
18156273864574094821,2002,817,20,Echoes in X-ray binaries
1290196611759789063,2004,774,11,The physics of neutron stars
5153238852742282789,2012,641,8,Pulsar astronomy
5915866172981566317,2005,402,12,Strange quark matter and compact stars
1880948881301794679,2007,396,8,Neutron stars 1: Equation of state and structure
6892682849836142198,2001,374,7,Correlated X-ray spectral and timing behavior of the black hole candidate XTE J1550–564: a new interpretation of black hole states
4193185519624700375,2002,348,10,A unified description of the timing features of accreting X-ray binaries
14411475534889182638,2003,336,14,Nuclear-powered millisecond pulsars and the maximum spin frequency of neutron stars
5006104005375103440,2001,317,9,A unified equation of state of dense matter and neutron star structure
15544515372915768263,2007,779,8,Neutron star observations: Prognosis for equation of state constraints
5091517075742540644,2004,622,27,A double-pulsar system: A rare laboratory for relativistic gravity and plasma physics
7461528665690739762,1998,435,86,Binary and millisecond pulsars
8241988029677197660,2006,421,20,Tests of general relativity from timing the double pulsar
5220543107042880529,1992,392,9,Strong-field tests of relativistic gravity and binary pulsars
15702034331667910159,1995,387,14,Gravitational-radiation damping of compact binary systems to second post-Newtonian order
11594452642351371823,2000,273,9,Determination of the last stable orbit for circular general relativistic binaries at the third post-Newtonian approximation
715987523523198463,2002,243,11,Gravitational radiation from post-Newtonian sources and inspiralling compact binaries
14418749084142240280,2001,241,8,Coalescence of two spinning black holes: An effective one-body approach
17219429169266262117,1995,230,12,Gravitational waves from inspiralling compact binaries: Energy loss and waveform to second-post-Newtonian order
14104802430711603539,2014,93,86, The Confrontation between General Relativity and Experiment
18203790892406879924,2012,61,12,Support for the thermal origin of the Pioneer anomaly
5706335264989253980,2011,48,8,Support for temporally varying behavior of the Pioneer anomaly from the extended Pioneer 10 and 11 Doppler data sets
15546387305939921338,2011,48,8,High precision thermal modeling of complex systems with application to the flyby and Pioneer anomaly
7461414438484792335,2012,29,26,Radioscience simulations in general relativity and in alternative theories of gravity
6215657238947212255,2012,27,24,Spacecraft VLBI and Doppler tracking: algorithms and implementation
3447602556187162246,2012,24,16,OSS (Outer Solar System): a fundamental and planetary physics mission to Neptune  Triton and the Kuiper Belt
2857487329459263699,2011,12,11,Electrostatic accelerometer with bias rejection for gravitation and Solar System physics
12637762590538140093,2012,12,11,Conformal cosmology and the pioneer anomaly
449426041704379020,2012,13,6,Geodesic deviation  Raychaudhuri equation  and tidal forces in modified gravity with an arbitrary curvature-matter coupling
15167405596197157282,2004,145,3,Nonlinear theory of elasticity: applications in biomechanics
12214708765835075434,1998,139,6,A review of homogenization and topology optimization III—topology optimization using optimality criteria
4446767945767351460,2010,90,17,Energy variational analysis of ions in water and channels: Field theory for primitive models of complex ionic fluids
10650404028368958861,2007,83,5,Spatial distribution maps for atom probe tomography
11235601579137545941,1996,76,4,Applied continuum mechanics
8323041867074064223,2008,69,4,Characterization of hyperelastic rubber-like materials by biaxial and uniaxial stretching tests based on optical methods
2101221661931891468,1999,65,8,A consistent co-rotational finite element formulation for geometrically nonlinear dynamic analysis of 3-D beams
4650143059439853068,2001,64,10,Vibration analysis of a rotating Timoshenko beam
6089430789798386676,2003,61,6,Path-dependent hemodynamics of the stenosed carotid bifurcation
14381482001435739969,1993,54,3,An exposition of the material derivative approach for structural shape sensitivity analysis
15306232667940952711,1993,1224,12,Quasilocal energy and conserved charges derived from the gravitational action
15166365308210523536,1995,1065,6,Metric-affine gauge theory of gravity: field equations  Noether identities  world spinors  and breaking of dilation invariance
8612318971229495860,1996,276,9,Gravitational energy in spherical symmetry
14638653465637018739,1985,243,9,Laws of motion and precession for black holes and other bodies
6098919591132601339,1997,240,4,Local anisotropy in self-gravitating systems
16809983107195186079,1996,221,8,Energy and angular momentum of charged rotating black holes
7553340185024589582,1990,201,8,Energy associated with a Kerr-Newman black hole
3105156469460524840,1994,191,4,An introduction to twistor theory
3266363484838289409,1994,188,9,Quasilocal gravitational energy
13102890771516471065,2011,864,8,Unified cosmic history in modified gravity: from F (R) theory to Lorentz non-invariant models
7422287691854027578,2012,658,12,Modified gravity and cosmology
16223135719897629050,2011,416,9,Extended theories of gravity
4300970004529238500,2014,344,10,Dark energy
6188521334471223664,2012,332,8,Theoretical aspects of massive gravity
18390664711257628156,2011,217,13,Holographic c-theorems in arbitrary dimensions
8799294614287754687,2011,160,9,Equation of state for dark energy in f (T) gravity
11612397823986747102,2010,151,9,Observational constraints on f (T) theory
16888448779462822920,2011,149,9,Cosmological perturbations in f (T) gravity
8183041740730860922,2006,141,15,Giant ringlike radio structures around galaxy cluster Abell 3376
11424932236210271867,1994,436,5,On black hole entropy
208829199956979047,1988,288,8,Black-hole thermodynamics in Lovelock gravity
11780698255487103800,1993,252,9,Black hole entropy and higher curvature interactions
1021195129240749246,1994,241,12,Black hole relics and inflation: Limits on blue perturbation spectra
6429313507243502838,2009,169,7,Holographic superconductors with higher curvature corrections
10667577269028508114,1995,166,9,On the description of the Riemannian geometry in the presence of conical defects
13159594198281220998,1995,126,10,Increase of black hole entropy in higher curvature gravity
5701411112753433621,2005,108,16,Black hole remnants at the LHC
13299000382113771897,1993,99,13,Charged black holes in effective string theory
4601313629289052190,2000,1924,6,Cosmological inflation and large-scale structure
8886531798267752325,1999,1494,13,Particle physics models of inflation and the cosmological density perturbation
13028615763904245420,1997,713,15,Reconstructing the inflaton potential—an overview
5817703807113185398,2000,501,11,Superstring cosmology
3617047270545129441,1998,491,12,Black holes and sub-millimeter dimensions
48626673277144263,2008,322,15,CMBPol mission concept study: Probing inflation with CMB polarization
431821403978069407,2001,240,10,Steep inflation: Ending braneworld inflation by gravitational particle production
3228397985325433622,1996,229,8,Density perturbations and black hole formation in hybrid inflation
7391306006252354167,1996,219,10,Supernatural inflation: Inflation from supersymmetry with no (very) small parameters
13300510603267864303,2010,189,8,New cosmological constraints on primordial black holes
4946452422128145608,2014,421,3,Neutron interferometry: lessons in experimental quantum mechanics
9202965831117731523,2000,375,9,Rotation sensing with a dual atom-interferometer Sagnac gyroscope
5706472842039311672,1999,289,12,Phase-coherent amplification of atomic matter waves
10509069527219184280,2008,263,7,Laser spectroscopy 2
13538208001490353167,2007,252,8,Charge separation induced by P-odd bubbles in QCD matter
13633324911007992224,2007,143,8,Ultrahigh enhancement in absolute and relative rotation sensing using fast and slow light
14027126264172021394,2006,120,13,Long-term stability of an area-reversible atom-interferometer sagnac gyroscope
