Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
10921,"S Weinberg, RH Dicke","Gravitation and cosmology: principles and applications of the general theory of relativity",1973,"American Journal of Physics","scitation.aip.org","","http://scholar.google.com/scholar?cites=2331091289335612956&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,"2015-01-23","CITATION"
2801,"JL Synge","Relativity: the general theory",1960,"","philpapers.org","","http://scholar.google.com/scholar?cites=12197384436558944218&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2,"2015-01-23","CITATION"
7566,"RM Wald","General relativity",2010,"","books.google.com","","http://scholar.google.com/scholar?cites=16148015339316522882&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,"2015-01-23","BOOK"
1083,"SM Carroll","Spacetime and geometry. An introduction to general relativity",2004,"","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=14868893402188094261&as_sdt=5,33&sciodt=0,33&hl=en&num=20",4,"2015-01-23","BOOK"
440,"R Penrose","Singularities and time-asymmetry",1979,"General relativity","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:11506371","http://scholar.google.com/scholar?cites=510545905685334257&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5,"2015-01-23",""
1141,"R Adler, M Bazin, M Schiffer","Introduction to general relativity",1965,"","ulb.tu-darmstadt.de","http://www.ulb.tu-darmstadt.de/tocs/20911599.pdf","http://scholar.google.com/scholar?cites=14462109133234052327&as_sdt=5,33&sciodt=0,33&hl=en&num=20",6,"2015-01-23",""
1491,"R Penrose","GRAVITATIONAL COLLAPSE: THE ROLE OF GENERAL RELATIVITY.",1969,"","osti.gov","","http://scholar.google.com/scholar?cites=8663619917841218503&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7,"2015-01-23","CITATION"
1865,"W Israel","Singular hypersurfaces and thin shells in general relativity",1966,"Il Nuovo Cimento B Series 10","Springer","http://link.springer.com/article/10.1007/BF02710419","http://scholar.google.com/scholar?cites=15393282391177229497&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,"2015-01-23",""
598,"W Rindler","Relativity: special, general, and cosmological",2001,"","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=6906706217724154887&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,"2015-01-23","BOOK"
249,"SW Hawking","The path-integral approach to quantum gravity",1979,"General relativity","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:11506295","http://scholar.google.com/scholar?cites=9605547203688668051&as_sdt=5,33&sciodt=0,33&hl=en&num=20",10,"2015-01-23",""
1852,"FW Hehl, P Von der Heyde, GD Kerlick…","General relativity with spin and torsion: Foundations and prospects",1976,"Reviews of Modern Physics","APS","http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.48.393","http://scholar.google.com/scholar?cites=318534289671362430&as_sdt=5,33&sciodt=0,33&hl=en&num=20",11,"2015-01-23",""
955,"T Regge, C Teitelboim","Role of surface integrals in the Hamiltonian formulation of general relativity",1974,"Annals of Physics","Elsevier","http://www.sciencedirect.com/science/article/pii/0003491674904047","http://scholar.google.com/scholar?cites=11102729631711618733&as_sdt=5,33&sciodt=0,33&hl=en&num=20",12,"2015-01-23",""
816,"K Sundermeyer","Constrained dynamics with applications to Yang-Mills theory, general relativity, classical spin, dual string model",1982,"","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:14756633","http://scholar.google.com/scholar?cites=1257948076662317541&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,"2015-01-23",""
842,"C Rovelli, L Smolin","Loop space representation of quantum general relativity",1990,"Nuclear Physics B","Elsevier","http://www.sciencedirect.com/science/article/pii/055032139090019A","http://scholar.google.com/scholar?cites=3797835881920898930&as_sdt=5,33&sciodt=0,33&hl=en&num=20",14,"2015-01-23",""
526,"JB Hartle","Gravity: An introduction to Einstein's general relativity",2003,"","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=10396568807826700236&as_sdt=5,33&sciodt=0,33&hl=en&num=20",15,"2015-01-23","BOOK"
1602,"R Arnowitt, S Deser, CW Misner","Republication of: The dynamics of general relativity",2008,"General Relativity and Gravitation","Springer","http://link.springer.com/article/10.1007/s10714-008-0661-1","http://scholar.google.com/scholar?cites=13873740611885013730&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,"2015-01-23",""
297,"S Weinberg","Ultraviolet divergences in quantum theories of gravitation",1979,"General relativity","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:11506418","http://scholar.google.com/scholar?cites=17133139621425757947&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17,"2015-01-23",""
412,"GC McVittie","General relativity and cosmology",1965,"","philpapers.org","","http://scholar.google.com/scholar?cites=4207135312174850871&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,"2015-01-23","CITATION"
1049,"B Bertotti, L Iess, P Tortora","A test of general relativity using radio links with the Cassini spacecraft",2003,"Nature","nature.com","http://www.nature.com/nature/journal/v425/n6956/abs/nature01997.html","http://scholar.google.com/scholar?cites=2073577407186785391&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,"2015-01-23",""
1183,"A Ashtekar","New Hamiltonian formulation of general relativity",1987,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.36.1587","http://scholar.google.com/scholar?cites=5617530894122953917&as_sdt=5,33&sciodt=0,33&hl=en&num=20",20,"2015-01-23",""
1018,"T Thiemann","Modern canonical quantum general relativity",2007,"","langtoninfo.com","","http://scholar.google.com/scholar?cites=4510002617131076911&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,"2015-01-23","BOOK"
813,"A Papapetrou","Spinning test-particles in general relativity. I",1951,"Proceedings of the Royal Society of …","rspa.royalsocietypublishing.org","http://rspa.royalsocietypublishing.org/content/209/1097/248.short","http://scholar.google.com/scholar?cites=10237347239507920750&as_sdt=5,33&sciodt=0,33&hl=en&num=20",22,"2015-01-23",""
705,"II Shapiro","Fourth test of general relativity",1964,"Physical Review Letters","APS","","http://scholar.google.com/scholar?cites=8327507232975885515&as_sdt=5,33&sciodt=0,33&hl=en&num=20",23,"2015-01-23","CITATION"
