PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Sapper, K				Sapper, K			The equivalence principle of the general relativity theory	PHYSIKALISCHE ZEITSCHRIFT			German	Article																1911, ANN PHYS, V35, P898	1	2	2	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1939	40						663	666				4	Physics, Multidisciplinary	Physics	V15GZ	WOS:000201032100097		
J	Wenzl, A				Wenzl, A			The equivalence principle of the general theory of relativity	PHYSIKALISCHE ZEITSCHRIFT			German	Article																Sapper K, 1939, PHYS Z, V40, P663	1	0	0	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1940	41						421	422				2	Physics, Multidisciplinary	Physics	V15HA	WOS:000201032200064		
J	Sapper, K				Sapper, K			The equivalence principle of the general theory of relativity	PHYSIKALISCHE ZEITSCHRIFT			German	Article																Sapper K, 1939, PHYS Z, V40, P663; von Weizsacker CF, 1939, PHYS Z, V40, P667; 1940, PHYS Z, V41, P421	3	0	0	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1940	41						422	425				4	Physics, Multidisciplinary	Physics	V15HA	WOS:000201032200065		
J	KLEIN, O				KLEIN, O			A TENTATIVE PROGRAM FOR DEVELOPMENT OF QUANTUM FIELD THEORY AS AN EXTENSION OF EQUIVALENCE PRINCIPLE OF GENERAL RELATIVITY THEORY	NUCLEAR PHYSICS B			English	Article																KLEIN O, 1957, NUOVO CIMENTO S, V6, P344, DOI 10.1007/BF02724791; KLEIN O, 1956, HELV PHYS ACTA    S4, P58; Klein O, 1926, NATURE, V118, P516, DOI 10.1038/118516a0; KLEIN O, 1957, NUCL PHYS, V4, P677, DOI 10.1016/0029-5582(87)90078-2; Klein O., 1927, Zeitschrift fur Physik, V46; KLEIN O, 1954, KOSMOS, V32, P33; Klein O, 1926, Z PHYS, V37, P895, DOI 10.1007/BF01397481; Klein O., 1939, NOUVELLES THEORIES P, V1, P81; SALAM A, 1969, NUOVO CIMENTO LETTER, V2, P354; SCHWINGE.J, 1969, SCIENCE, V165, P757, DOI 10.1126/science.165.3895.757	10	2	2	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0550-3213			NUCL PHYS B	Nucl. Phys. B		1970	B 21	1					253	&				0	Physics, Particles & Fields	Physics	H0816	WOS:A1970H081600016		
J	BORNER, G; SCHLIEDER, S				BORNER, G; SCHLIEDER, S			SOME REMARKS CONCERNING THE EQUIVALENCE PRINCIPLE OF GENERAL-RELATIVITY WITH RESPECT TO QUANTUM-MECHANICAL ONE-PARTICLE STATE	GENERAL RELATIVITY AND GRAVITATION			English	Article										BORNER, G (reprint author), MAX PLANCK INST PHYS & ASTROPHYS,D-8000 MUNICH 40,FED REP GER.						BORNER G, 1978, PREPRINT; COLELLA R, 1975, PHYS REV LETT, V34, P1472, DOI 10.1103/PhysRevLett.34.1472; Ehlers J., 1957, THESIS HAMBURG; MISNER CW, 1970, GRAVITATION, P182; MOLLER C, 1952, THEORY RELATIVITY, P255; OVERHAUS.AW, 1974, PHYS REV LETT, V33, P1237, DOI 10.1103/PhysRevLett.33.1237; STODOLSKY L, 1978, MPIPAEPTH3778 PREPR	7	2	2	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0001-7701			GEN RELAT GRAVIT	Gen. Relativ. Gravit.		1980	12	1					29	41		10.1007/BF00756165		13	Astronomy & Astrophysics; Physics, Multidisciplinary; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	JY115	WOS:A1980JY11500003		
J	GERTSENSHTEIN, ME				GERTSENSHTEIN, ME			EQUIVALENCE PRINCIPLE, GENERAL-RELATIVITY AND BLACK-HOLES	IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII FIZIKA			Russian	Article										GERTSENSHTEIN, ME (reprint author), MV LOMONOSOV STATE UNIV,NUCL PHYS RES INST,MOSCOW 117234,USSR.						ARIFOV LY, 1978, OBSHCHAYA TEORIYA OT; Braginskii V. B., 1971, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V61; BRAGINSKII VB, 1974, IZMERENIE MALYKH SIL; EINASTO YE, 1983, PRIRODA, P80; GALKIN SL, 1975, DOKL AKAD NAUK SSSR+, V223, P827; GEROK R, 1979, YUBILEINYI SBORNIK G; GERTSENSHTEIN ME, 1977, IZV VUZ FIZ+, P127; Gertsenshtein M.E., 1966, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V51; GERTSENSHTEIN ME, 1977, IZV VUZ FIZ+, P90; GINZBURG VL, 1979, USP FIZ NAUK+, V128, P435; KHOKING S, 1977, KRUPNOMASSHTABNAYA S; KHOKING S, 1978, CHERNYE DYRY NOVOSTI, P180; KISLIK MD, 1982, VESTNIK AN SSSR; Landau L.D., 1958, MEKHANIKA; LONGEIR M, 1982, KRUPNOMASSHTABNAYA S; PIKELNER SB, 1976, PROISKHOZHDENIE EVOL; RUDENKO VN, 1978, USP FIZ NAUK+, V126, P361; SHANDARIN SF, 1983, USP FIZ NAUK+, V139, P83, DOI 10.3367/UFNr.0139.198301c.0083; SHAPIRO II, 1964, PHYS REV LETT, V13, P789, DOI 10.1103/PhysRevLett.13.789; SHVARTSMAN VF, 1982, PISMA ZHETF, V36, P224; TSZYU K, 1965, GRAVITATSIYA OTNOSIT, pCH1; VIZGIN VP, 1979, USP FIZ NAUK+, V128, P393; Zel'dovich Ya. B., 1967, RELYATIVISTSKAYA AST; 1972, PROBLEMY SOVREMENNOI	24	0	0	IZVESTIA VUZOV FIZIKA	TOMSK	REVOLUTION SQUARE 1, 634050 TOMSK, RUSSIA	0021-3411			IZV VUZ FIZ+			1984	27	1					11	15				5	Physics, Multidisciplinary	Physics	SB416	WOS:A1984SB41600003		
B	SPALLICCI, AD		FACKLER, O; TRANTHANHVAN, J		SPALLICCI, AD			THE 5TH FORCE AND THE CLASSICAL FORMALISM OF GENERAL-RELATIVITY - A SPACE EXPERIMENT TO TEST THE EQUIVALENCE PRINCIPLE	NEW AND EXOTIC PHENOMENA 90	MORIOND WORKSHOPS		English	Proceedings Paper	10TH MORIOND WORKSHOP AT THE 25TH MORIOND MEETING : NEW AND EXOTIC PHENOMENA 90	JAN 20-27, 1990	LES ARCS, FRANCE	CNRS, COMMISS ENERGIE ATOM FRANCE, NATL SCI FDN													0	0	0	EDITIONS FRONTIERES	DREUX	DREUX			2-86332-080-7	MORIOND WOR			1990	64						309	315				7	Astronomy & Astrophysics; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	BS92P	WOS:A1990BS92P00033		
J	LOBOV, GA				LOBOV, GA			ON THE VIOLATION OF THE EQUIVALENCE PRINCIPLE OF GENERAL-RELATIVITY BY THE ELECTROWEAK INTERACTION	SOVIET JOURNAL OF NUCLEAR PHYSICS-USSR			English	Article							WEAK	The additional contribution to the inertial mass of an object is calculated in the standard model of the electroweak interaction. Its magnitude is determined mainly by charged nucleon currents in nuclei. Bounds on the parameter eta characterizing the degree to which the equivalence principle is violated owing to the weak interaction of nucleons in nuclei are obtained from the data of Eotvostype experiments: eta-w < 2 x 10(-2) for the even and eta-w(P) < 10(2) for the odd part of the Hamiltonian of the electroweak interaction.								BETHE HA, 1971, ANN REV NUCL SCI, V21, P93, DOI 10.1146/annurev.ns.21.120171.000521; BOWLER MG, 1979, GRAVITATION RELATIVI, pCH2; BRAGINSKII VB, 1972, ZH EKSP TEOR FIZ, V34, P463; BRUCKNER K, 1964, THEORY NUCLEAR MATTE; EINSTEIN A, 1955, MEANING RELATIVITY, pCH3; HAUGAN MP, 1976, PHYS REV LETT, V37, P1, DOI 10.1103/PhysRevLett.37.1; KALEBIN SM, 1988, ITEP24 PREPR; LANDAU LD, 1988, CLASSICAL THEORY FIE, pCH10; LIGHTMAN AP, 1973, PHYS REV D, V8, P364, DOI 10.1103/PhysRevD.8.364; LOBOV GA, 1975, WEAK INTERACTION NUC; LOGUNOV AA, 1987, LECTURES THEORY RELA, pCH3; Okun L. B., 1989, Soviet Physics - Uspekhi, V32, DOI 10.1070/PU1989v032n07ABEH002739; Pekar D, 1922, ANN PHYSIK, V68, P11; ROLL PG, 1964, ANN PHYS-NEW YORK, V26, P442, DOI 10.1016/0003-4916(64)90259-3; Rudenko V. N., 1978, Soviet Physics - Uspekhi, V21, DOI 10.1070/PU1978v021n11ABEH005714; WEINBERG S, 1972, PHYS REV D, V5, P1412, DOI 10.1103/PhysRevD.5.1412; WILL CM, 1985, THEORY EXPT GRAVITAT, pCH2	17	3	3	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0038-5506			SOV J NUCL PHYS+		NOV	1990	52	5					918	919				2	Physics, Nuclear; Physics, Particles & Fields	Physics	FH235	WOS:A1990FH23500029		
J	HAYASHI, K; SHIRAFUJI, T				HAYASHI, K; SHIRAFUJI, T			FRAME-DRAGGING PRECESSION OF ORBITING GYROSCOPES IN NEW GENERAL-RELATIVITY AND POSSIBLE VIOLATION OF EQUIVALENCE PRINCIPLE	PROGRESS OF THEORETICAL PHYSICS			English	Article							POINCARE GAUGE-THEORY; FUNDAMENTAL PARTICLES; GRAVITY; EQUATIONS; MOTION	In the Gravity Probe-B Relativity Gyroscope Experiment now in progress the frame-dragging precession of a gyroscope in a polar orbit of height 650[km] is predicted to be 4.2 x 10(-2)[arc-s/yr] by General Relativity. We find that its cousin, New General Relativity, gives 1 + x times the above value, where x denotes a parameter arisen from a new quantum occurring in a spin-spin interaction of two fermions. We infer on a theoretical reason that x is unity, thus doubling the predicted value.	SAITAMA UNIV,DEPT PHYS,URAWA,SAITAMA 338,JAPAN	HAYASHI, K (reprint author), KITASATO UNIV,INST PHYS,SAGAMIHARA,KANAGAWA 228,JAPAN.						ADAMOWICZ W, 1975, B ACAD POLON SC SMAP, V20, P339; BARDAS D, 1989, 5TH P M GROSSM M GEN, P1633; BARKER BM, 1975, PHYS REV D, V12, P329, DOI 10.1103/PhysRevD.12.329; BARKER BM, 1970, PHYS REV D, V2, P1428, DOI 10.1103/PhysRevD.2.1428; BARKER BM, 1966, PHYS REV, V149, P1027, DOI 10.1103/PhysRev.149.1027; de Sitter W, 1916, MON NOT R ASTRON SOC, V77, P481; de Sitter W, 1916, MON NOT R ASTRON SOC, V77, P0155; GUPTA SN, 1952, P PHYS SOC LOND A, V65, P161, DOI 10.1088/0370-1298/65/3/301; GUPTA SN, 1954, PHYS REV, V96, P1683, DOI 10.1103/PhysRev.96.1683; GUPTA SN, 1952, P PHYS SOC LOND A, V65, P608, DOI 10.1088/0370-1298/65/8/304; GUPTA SN, 1957, REV MOD PHYS, V29, P334, DOI 10.1103/RevModPhys.29.334; HAYASHI K, 1973, ANN PHYS-NEW YORK, V75, P562, DOI 10.1016/0003-4916(73)90081-X; HAYASHI K, 1981, PHYS REV D, V24, P3321; HAYASHI K, 1979, PHYS REV D, V19, P3524, DOI 10.1103/PhysRevD.19.3524; HAYASHI K, 1980, PROG THEOR PHYS, V64, P1435, DOI 10.1143/PTP.64.1435; HAYASHI K, 1980, PROG THEOR PHYS, V64, P866; HAYASHI K, 1973, PHYS LETT B, VB 44, P497, DOI 10.1016/0370-2693(73)90007-5; HAYASHI K, 1980, PROG THEOR PHYS, V64, P883; HAYASHI K, 1980, PROG THEOR PHYS, V64, P2222, DOI 10.1143/PTP.64.2222; Lense J., 1918, Physikalische Zeitschrift, V19; Misner C. W., 1973, GRAVITATION; MIYAMOTO S, 1971, PROG THEOR PHYS, V45, P296; Pauli W., 1932, Helvetica Physica Acta, V5; PUGH GE, 1959, WESG11 US DEP DEF RE; RAFANELLI K, 1964, PHYS REV B, V135, pB279, DOI 10.1103/PhysRev.135.B279; RUBINOW SI, 1963, PHYS REV, V131, P2789, DOI 10.1103/PhysRev.131.2789; SCHIFF LI, 1960, PHYS REV LETT, V4, P215, DOI 10.1103/PhysRevLett.4.215; SCHIFF LI, 1960, P NATL ACAD SCI USA, V46, P871, DOI 10.1073/pnas.46.6.871; SCHWEBER SS, 1964, INTRO RELATIVISTIC Q, pCH15; Weinberg S., 1972, GRAVITATION COSMOLOG; 1989, RIKA NEMPYO, P619	31	2	2	KYOTO UNIV	KYOTO	YUKAWA HALL PROGRESS THEORETICAL PHYSICS, KYOTO 606-01, JAPAN	0033-068X			PROG THEOR PHYS	Prog. Theor. Phys.	DEC	1990	84	6					1074	1084				11	Physics, Multidisciplinary	Physics	ER766	WOS:A1990ER76600009		
J	GABRIEL, MD; HAUGAN, MP; MANN, RB; PALMER, JH				GABRIEL, MD; HAUGAN, MP; MANN, RB; PALMER, JH			GRAVITATIONAL LIGHT DEFLECTION AND PROPAGATION DELAY IN NONSYMMETRIC THEORIES OF GRAVITY	PHYSICAL REVIEW D			English	Article							WEAK EQUIVALENCE PRINCIPLE; GENERAL-RELATIVITY; VIOLATION	The gravitational deflection of light by the Sun and the closely related gravitational propagation delay are polarization dependent in any theory of gravity which couples the antisymmetric part of a nonsymmetric-tensor gravitational field to the electromagnetic field. This polarization dependence is a global consequence of the breakdown of the Einstein equivalence principle. The present version of Moffat's nonsymmetric gravitation theory, the prototype for the theories we study, predicts that light grazing the limb of the Sun is deflected by about a fifth of a milliarcsecond more then it is linearly polarized with its magnetic field lying in the plane in which the light is deflected than when it is orthogonally polarized. The next generation of light-deflection experiments will stringently test this prediction.	UNIV WATERLOO,DEPT PHYS,WATERLOO N2L 3G1,ONTARIO,CANADA	GABRIEL, MD (reprint author), PURDUE UNIV,DEPT PHYS,W LAFAYETTE,IN 47907, USA.						BELINFANTE FJ, 1957, ANN PHYS-NEW YORK, V1, P168, DOI 10.1016/0003-4916(57)90057-X; BELINFANTE FJ, 1957, ANN PHYS-NEW YORK, V2, P81, DOI 10.1016/0003-4916(57)90036-2; BELINFANTE FJ, 1957, ANN PHYS-NEW YORK, V1, P196, DOI 10.1016/0003-4916(57)90058-1; BRANS C, 1961, PHYS REV, V124, P925, DOI 10.1103/PhysRev.124.925; CHANDLER JF, 1988, OPTICAL SOC AM TECHN, V10, P19; DAVIS J, 1984, P INT S MEASUREMENT; Dyson F.W., 1920, Philosophical Transactions of the Royal Society of London, V220, DOI 10.1098/rsta.1920.0009; EINSTEIN A, 1974, MEANING RELATIVITY; FOMALONT EB, 1976, PHYS REV LETT, V36, P1475, DOI 10.1103/PhysRevLett.36.1475; KRISHER TP, 1989, PHYS REV D, V40, P1372, DOI 10.1103/PhysRevD.40.1372; LABEYRIE A, 1978, ANNU REV ASTRON ASTR, V16, P77, DOI 10.1146/annurev.aa.16.090178.000453; LIGHTMAN AP, 1973, PHYS REV D, V8, P364, DOI 10.1103/PhysRevD.8.364; MANN RB, 1989, CLASSICAL QUANT GRAV, V6, P41, DOI 10.1088/0264-9381/6/1/005; MANN RB, 1982, CAN J PHYS, V60, P383; MANN RB, 1981, CAN J PHYS, V59, P1334; MANN RB, 1989, PHYS REV LETT, V62, P2765, DOI 10.1103/PhysRevLett.62.2765; MOFFAT JW, 1989, PHYS REV D, V39, P474, DOI 10.1103/PhysRevD.39.474; MOFFAT JW, 1979, PHYS REV D, V19, P3554, DOI 10.1103/PhysRevD.19.3554; MOFFAT JW, 1987, PHYS REV D, V35, P3733, DOI 10.1103/PhysRevD.35.3733; MOFFAT JW, 1982, ORIGIN EVOLUTION GAL; MOFFATT JW, 1984, FOUND PHYS, V14, P1217, DOI 10.1007/BF01889321; REASENBERG RD, 1983, 9TH P C GEN REL GRAV; REASENBERG RD, 1988, ASTRON J, V96, P1731, DOI 10.1086/114925; THORNE KS, 1973, PHYS REV D, V7, P3563, DOI 10.1103/PhysRevD.7.3563; WILL CM, 1989, PHYS REV LETT, V62, P369, DOI 10.1103/PhysRevLett.62.369; WILL CM, 1981, THEORY EXPT GRAVITAT	26	20	20	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0556-2821			PHYS REV D	Phys. Rev. D	JAN 15	1991	43	2					308	313		10.1103/PhysRevD.43.308		6	Astronomy & Astrophysics; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	ET217	WOS:A1991ET21700004		
